,Accession,Segment,Nuc_Completeness,Species
0,NC_077666.1,M,complete,Orthohantavirus puumalaense
1,NC_077667.1,L,complete,Orthohantavirus puumalaense
2,NC_077668.1,S,complete,Orthohantavirus puumalaense
3,NC_005223.1,M,complete,Orthohantavirus puumalaense
4,NC_005224.1,S,complete,Orthohantavirus puumalaense
5,NC_005225.1,L,complete,Orthohantavirus puumalaense
119,OR573657.1,S,complete,Orthohantavirus puumalaense
243,OR915058.1,S,complete,Orthohantavirus puumalaense
244,OR915059.1,M,complete,Orthohantavirus puumalaense
245,OR915060.1,L,complete,Orthohantavirus puumalaense
246,OR915061.1,S,complete,Orthohantavirus puumalaense
247,OR915062.1,M,complete,Orthohantavirus puumalaense
248,OR915063.1,L,complete,Orthohantavirus puumalaense
249,OR915064.1,S,complete,Orthohantavirus puumalaense
250,OR915065.1,M,complete,Orthohantavirus puumalaense
251,OR915066.1,L,complete,Orthohantavirus puumalaense
255,OR915070.1,S,complete,Orthohantavirus puumalaense
256,OR915071.1,M,complete,Orthohantavirus puumalaense
257,OR915072.1,L,complete,Orthohantavirus puumalaense
442,OM372470.1,M,complete,Orthohantavirus puumalaense
578,MZ014465.1,S,complete,Orthohantavirus puumalaense
579,MZ014466.1,S,complete,Orthohantavirus puumalaense
580,MZ014467.1,S,complete,Orthohantavirus puumalaense
581,MZ014468.1,M,complete,Orthohantavirus puumalaense
582,MZ014469.1,M,complete,Orthohantavirus puumalaense
583,MZ014470.1,M,complete,Orthohantavirus puumalaense
584,MZ014471.1,L,complete,Orthohantavirus puumalaense
585,MZ014472.1,L,complete,Orthohantavirus puumalaense
586,MZ014473.1,L,complete,Orthohantavirus puumalaense
1288,MW148469.1,M,complete,Orthohantavirus puumalaense
1289,MW148470.1,M,complete,Orthohantavirus puumalaense
1290,MW148471.1,M,complete,Orthohantavirus puumalaense
1291,MW148472.1,M,complete,Orthohantavirus puumalaense
1292,MW148473.1,M,complete,Orthohantavirus puumalaense
1293,MW148474.1,M,complete,Orthohantavirus puumalaense
1358,MK340904.1,S,complete,Orthohantavirus puumalaense
1359,MN832779.1,L,complete,Orthohantavirus puumalaense
1360,MN832780.1,M,complete,Orthohantavirus puumalaense
1361,MN832781.1,S,complete,Orthohantavirus puumalaense
1362,MN832782.1,L,complete,Orthohantavirus puumalaense
1363,MN832783.1,M,complete,Orthohantavirus puumalaense
1364,MN832784.1,S,complete,Orthohantavirus puumalaense
1386,MT514271.1,S,complete,Orthohantavirus puumalaense
1387,MT514272.1,S,complete,Orthohantavirus puumalaense
1388,MT514273.1,S,complete,Orthohantavirus puumalaense
1389,MT514274.1,S,complete,Orthohantavirus puumalaense
1394,MT514291.1,L,complete,Orthohantavirus puumalaense
1395,MT514292.1,L,complete,Orthohantavirus puumalaense
1396,MT514293.1,L,complete,Orthohantavirus puumalaense
1397,MT514294.1,L,complete,Orthohantavirus puumalaense
1491,MT024590.1,S,complete,Orthohantavirus puumalaense
1492,MT024591.1,M,complete,Orthohantavirus puumalaense
1493,MT024592.1,L,complete,Orthohantavirus puumalaense
1494,MT024593.1,S,complete,Orthohantavirus puumalaense
1495,MT024594.1,M,complete,Orthohantavirus puumalaense
1496,MT024595.1,L,complete,Orthohantavirus puumalaense
1497,MN639737.1,L,complete,Orthohantavirus puumalaense
1498,MN639738.1,M,complete,Orthohantavirus puumalaense
1499,MN639739.1,S,complete,Orthohantavirus puumalaense
1500,MN639740.1,L,complete,Orthohantavirus puumalaense
1501,MN639741.1,M,complete,Orthohantavirus puumalaense
1502,MN639742.1,S,complete,Orthohantavirus puumalaense
1503,MN639743.1,L,complete,Orthohantavirus puumalaense
1504,MN639744.1,M,complete,Orthohantavirus puumalaense
1505,MN639745.1,S,complete,Orthohantavirus puumalaense
1506,MN639746.1,L,complete,Orthohantavirus puumalaense
1507,MN639747.1,M,complete,Orthohantavirus puumalaense
1508,MN639748.1,S,complete,Orthohantavirus puumalaense
1509,MN639749.1,L,complete,Orthohantavirus puumalaense
1510,MN639750.1,M,complete,Orthohantavirus puumalaense
1511,MN639751.1,S,complete,Orthohantavirus puumalaense
1512,MN639752.1,L,complete,Orthohantavirus puumalaense
1513,MN639753.1,M,complete,Orthohantavirus puumalaense
1514,MN639754.1,S,complete,Orthohantavirus puumalaense
2077,KX757839.1,S,complete,Orthohantavirus puumalaense
2078,KX757840.1,S,complete,Orthohantavirus puumalaense
2079,KX757841.1,S,complete,Orthohantavirus puumalaense
2143,KT885050.1,L,complete,Orthohantavirus puumalaense
2144,KT885051.1,M,complete,Orthohantavirus puumalaense
2145,KT885052.1,S,complete,Orthohantavirus puumalaense
2532,KJ994776.1,S,complete,Orthohantavirus puumalaense
2533,KJ994777.1,M,complete,Orthohantavirus puumalaense
2534,KJ994778.1,L,complete,Orthohantavirus puumalaense
2705,JX028271.1,L,complete,Orthohantavirus puumalaense
2706,JX028272.1,M,complete,Orthohantavirus puumalaense
2707,JX028273.1,S,complete,Orthohantavirus puumalaense
2708,JX046482.1,L,complete,Orthohantavirus puumalaense
2709,JX046483.1,M,complete,Orthohantavirus puumalaense
2710,JX046484.1,S,complete,Orthohantavirus puumalaense
2711,JX046485.1,L,complete,Orthohantavirus puumalaense
2712,JX046486.1,M,complete,Orthohantavirus puumalaense
2713,JX046487.1,S,complete,Orthohantavirus puumalaense
2741,JQ319161.2,S,complete,Orthohantavirus puumalaense
2742,JQ319162.2,S,complete,Orthohantavirus puumalaense
2743,JQ319163.2,S,complete,Orthohantavirus puumalaense
2744,JQ319164.1,S,complete,Orthohantavirus puumalaense
2745,JQ319165.1,S,complete,Orthohantavirus puumalaense
2746,JQ319166.1,S,complete,Orthohantavirus puumalaense
2747,JQ319167.1,S,complete,Orthohantavirus puumalaense
2748,JQ319168.2,S,complete,Orthohantavirus puumalaense
2749,JQ319169.1,S,complete,Orthohantavirus puumalaense
2750,JQ319170.1,S,complete,Orthohantavirus puumalaense
2751,JQ319171.1,S,complete,Orthohantavirus puumalaense
2752,JQ319172.1,M,complete,Orthohantavirus puumalaense
2753,JQ319173.1,M,complete,Orthohantavirus puumalaense
2754,JQ319174.1,M,complete,Orthohantavirus puumalaense
2755,JQ319175.1,M,complete,Orthohantavirus puumalaense
2900,JN831943.1,S,complete,Orthohantavirus puumalaense
2901,JN831944.1,M,complete,Orthohantavirus puumalaense
2902,JN831945.1,L,complete,Orthohantavirus puumalaense
2903,JN831946.1,L,complete,Orthohantavirus puumalaense
2904,JN831947.1,S,complete,Orthohantavirus puumalaense
2905,JN831948.1,M,complete,Orthohantavirus puumalaense
2906,JN831949.1,L,complete,Orthohantavirus puumalaense
2907,JN831950.1,S,complete,Orthohantavirus puumalaense
2908,JN831951.1,M,complete,Orthohantavirus puumalaense
2909,JN831952.1,L,complete,Orthohantavirus puumalaense
3020,JN657228.1,S,complete,Orthohantavirus puumalaense
3021,JN657229.1,S,complete,Orthohantavirus puumalaense
3022,JN657230.1,S,complete,Orthohantavirus puumalaense
3023,JN657231.1,S,complete,Orthohantavirus puumalaense
3024,JN657232.1,S,complete,Orthohantavirus puumalaense
3374,EF442087.1,S,complete,Orthohantavirus puumalaense
3396,EF405801.1,L,complete,Orthohantavirus puumalaense
3523,AY526217.1,L,complete,Orthohantavirus puumalaense
3524,AY526218.1,M,complete,Orthohantavirus puumalaense
3525,AY526219.1,S,complete,Orthohantavirus puumalaense
