,Accession,Segment,Nuc_Completeness,Species
0,NC_005233.1,S,complete,Orthohantavirus dobravaense
1,NC_005234.1,M,complete,Orthohantavirus dobravaense
2,NC_005235.1,L,complete,Orthohantavirus dobravaense
3,PZ377041.1,M,partial,Orthohantavirus dobravaense
4,PX840724.1,S,partial,Orthohantavirus dobravaense
5,PQ867784.1,S,partial,Orthohantavirus dobravaense
6,PQ867786.1,S,partial,Orthohantavirus dobravaense
7,PQ867787.1,S,partial,Orthohantavirus dobravaense
8,PQ867790.1,S,partial,Orthohantavirus dobravaense
9,PQ867791.1,S,partial,Orthohantavirus dobravaense
10,PQ256562.1,L,partial,Orthohantavirus dobravaense
11,PQ256563.1,L,partial,Orthohantavirus dobravaense
12,PQ256630.1,L,partial,Orthohantavirus dobravaense
13,PQ256632.1,L,partial,Orthohantavirus dobravaense
14,PQ256633.1,L,partial,Orthohantavirus dobravaense
15,PQ256634.1,L,partial,Orthohantavirus dobravaense
16,PQ256635.1,L,partial,Orthohantavirus dobravaense
17,PQ256637.1,L,partial,Orthohantavirus dobravaense
18,PQ256638.1,L,partial,Orthohantavirus dobravaense
19,PQ256639.1,L,partial,Orthohantavirus dobravaense
20,PQ256640.1,L,partial,Orthohantavirus dobravaense
21,PQ256643.1,L,partial,Orthohantavirus dobravaense
22,PQ256646.1,L,partial,Orthohantavirus dobravaense
23,PQ256647.1,L,partial,Orthohantavirus dobravaense
24,PQ256648.1,L,partial,Orthohantavirus dobravaense
25,MW055917.1,L,partial,Orthohantavirus dobravaense
26,MW055918.1,M,complete,Orthohantavirus dobravaense
27,MW055919.1,S,partial,Orthohantavirus dobravaense
28,OQ129481.1,L,partial,Orthohantavirus dobravaense
29,OQ129482.1,L,partial,Orthohantavirus dobravaense
30,OQ129483.1,L,partial,Orthohantavirus dobravaense
31,OQ129484.1,L,partial,Orthohantavirus dobravaense
32,ON243777.1,M,partial,Orthohantavirus dobravaense
33,ON243806.1,L,partial,Orthohantavirus dobravaense
34,ON243807.1,L,partial,Orthohantavirus dobravaense
35,ON243808.1,L,partial,Orthohantavirus dobravaense
36,ON243809.1,L,partial,Orthohantavirus dobravaense
37,ON243810.1,L,partial,Orthohantavirus dobravaense
38,ON243811.1,L,partial,Orthohantavirus dobravaense
39,ON243812.1,L,partial,Orthohantavirus dobravaense
40,ON243813.1,L,partial,Orthohantavirus dobravaense
41,ON243814.1,L,partial,Orthohantavirus dobravaense
42,OK422867.1,M,complete,Orthohantavirus dobravaense
43,OK422868.1,M,complete,Orthohantavirus dobravaense
44,OK422869.1,L,complete,Orthohantavirus dobravaense
45,OK422870.1,L,complete,Orthohantavirus dobravaense
46,OK422871.1,L,complete,Orthohantavirus dobravaense
47,OM677634.1,L,complete,Orthohantavirus dobravaense
48,OM677635.1,M,complete,Orthohantavirus dobravaense
49,OM677636.1,S,complete,Orthohantavirus dobravaense
50,OM677637.1,L,complete,Orthohantavirus dobravaense
51,OM677638.1,M,partial,Orthohantavirus dobravaense
52,OM677639.1,S,complete,Orthohantavirus dobravaense
53,MT580910.1,L,partial,Orthohantavirus dobravaense
54,MT580911.2,L,partial,Orthohantavirus dobravaense
55,MT580912.1,L,partial,Orthohantavirus dobravaense
56,MT580913.1,M,partial,Orthohantavirus dobravaense
57,MT580914.2,M,partial,Orthohantavirus dobravaense
58,MT580916.2,M,partial,Orthohantavirus dobravaense
59,MT580917.1,S,partial,Orthohantavirus dobravaense
60,MT580918.2,S,partial,Orthohantavirus dobravaense
61,MT580919.2,S,partial,Orthohantavirus dobravaense
62,MT580920.2,S,partial,Orthohantavirus dobravaense
63,MT580921.2,S,partial,Orthohantavirus dobravaense
64,MT580922.2,S,partial,Orthohantavirus dobravaense
65,MT580923.2,S,partial,Orthohantavirus dobravaense
66,MT580924.2,S,partial,Orthohantavirus dobravaense
67,MT580925.2,S,partial,Orthohantavirus dobravaense
68,MT580926.2,S,partial,Orthohantavirus dobravaense
69,MT580927.2,S,partial,Orthohantavirus dobravaense
70,MT580928.2,S,partial,Orthohantavirus dobravaense
71,MT580929.2,S,partial,Orthohantavirus dobravaense
72,MT580930.2,S,partial,Orthohantavirus dobravaense
73,MT580931.1,S,partial,Orthohantavirus dobravaense
74,MT580932.2,S,partial,Orthohantavirus dobravaense
75,MW091491.1,M,partial,Orthohantavirus dobravaense
76,MW091492.1,M,partial,Orthohantavirus dobravaense
77,MW091493.1,L,partial,Orthohantavirus dobravaense
78,MW091494.1,L,partial,Orthohantavirus dobravaense
79,MW151008.1,S,partial,Orthohantavirus dobravaense
80,MN854701.1,L,partial,Orthohantavirus dobravaense
81,MN657233.1,S,partial,Orthohantavirus dobravaense
