Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
NC_077666.1,RefSeq,GCF_002829765.1,,,PRJNA485481,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,,M,"Puumala virus CG1820 virus M genome segment, complete cds",3682,complete,,,,,,"Giebel,L.B., Stohwasser,R., Zoller,L., Bautz,E.K., Darai,G.","National Center for Biotechnology Information, NIH",USA,1,,2023-05-06,ssRNA(-)
NC_077667.1,RefSeq,GCF_002829765.1,,,PRJNA485481,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,,L,Puumala virus CG1820 RNA-dependent RNA polymerase gene in L RNA segment,6550,complete,,,,,,"Stohwasser,R., Raab,K., Darai,G., Bautz,E.K.","National Center for Biotechnology Information, NIH",USA,1,,2023-05-06,ssRNA(-)
NC_077668.1,RefSeq,GCF_002829765.1,,,PRJNA485481,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,,S,"Puumala virus CG1820 segment S nucleocapsid protein mRNA, 5' end",1784,complete,,,,,,"Stohwasser,R., Giebel,L.B., Zoller,L., Bautz,E.K., Darai,G.","National Center for Biotechnology Information, NIH",USA,1,,2023-05-06,ssRNA(-)
NC_005223.1,RefSeq,GCF_000854405.1,,,PRJNA485481,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,,M,"Puumala virus segment M, complete sequence",3682,complete,,,,,,"Vapalahti,O., Kallio-Kokko,H., Salonen,E.M., Brummer-Korvenkontio,M., Vaheri,A., Vapalahti,O.P.","National Center for Biotechnology Information, NIH",USA,1,,2003-11-18,ssRNA(-)
NC_005224.1,RefSeq,GCF_000854405.1,,,PRJNA485481,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,,S,"Puumala virus segment S, complete sequence",1830,complete,,,,,,"Vapalahti,O., Kallio-Kokko,H., Salonen,E.M., Brummer-Korvenkontio,M., Vaheri,A., Vapalahti,O.P.","National Center for Biotechnology Information, NIH",USA,1,,2003-11-18,ssRNA(-)
NC_005225.1,RefSeq,GCF_000854405.1,,,PRJNA485481,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,,L,"Puumala virus segment L, complete genome",6550,complete,,,,,,"Piiparinen,H., Vapalahti,O., Plyusnin,A., Vaheri,A., Lankinen,H.","National Center for Biotechnology Information, NIH",USA,,,2003-11-18,ssRNA(-)
PQ867783.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,770_2019_PUUV_HU,,"Orthohantavirus puumalaense isolate 770_2019_PUUV_HU nucleocapsid protein gene, partial cds",345,partial,Hungary: Szigetvar,Hungary,,Homo sapiens,blood,"Koroknai,A., Nagy,A., Nagy,O., Csonka,N., Mezei,E., Szomor,K., Takacs,M.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,,2019,2026-02-01,ssRNA(-)
PQ867785.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,1940_2020_PUUV_HU,,"Orthohantavirus puumalaense isolate 1940_2020_PUUV_HU nucleocapsid protein gene, partial cds",345,partial,Hungary: Szombathely,Hungary,,Homo sapiens,blood,"Koroknai,A., Nagy,A., Nagy,O., Csonka,N., Mezei,E., Szomor,K., Takacs,M.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,,2020,2026-02-01,ssRNA(-)
PQ867788.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,2013_2021_PUUV_HU,,"Orthohantavirus puumalaense isolate 2013_2021_PUUV_HU nucleocapsid protein gene, partial cds",345,partial,Hungary: Csorotnek,Hungary,,Homo sapiens,blood,"Koroknai,A., Nagy,A., Nagy,O., Csonka,N., Mezei,E., Szomor,K., Takacs,M.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,,2021,2026-02-01,ssRNA(-)
PQ867789.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,653_2023_PUUV_HU,,"Orthohantavirus puumalaense isolate 653_2023_PUUV_HU nucleocapsid protein gene, partial cds",345,partial,Hungary: Bakonybel,Hungary,,Homo sapiens,blood,"Koroknai,A., Nagy,A., Nagy,O., Csonka,N., Mezei,E., Szomor,K., Takacs,M.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,,2023,2026-02-01,ssRNA(-)
PV276136.1,GenBank,,,,,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae,,Cr00-18,,"Orthohantavirus puumalaense isolate Cr00-18 RNA-dependent RNA polymerase gene, complete cds",6544,partial,South Korea,South Korea,,Myodes regulus,lung,"Park,K., Kim,S.G., Kim,J.A., Prayitno,S.P., Kim,J., Lee,S.H., Lee,J., Seo,Y.R., Natasha,A., Lee,H.I., Kim,K., Kim,W.K., Song,J.W., Song,J.-W., Kim,S.-G.","Korea University, Microbiology, College of Medicine",,1,2019-05-15,2025-11-12,ssRNA(-)
