,Accession,Segment,Nuc_Completeness,Species
0,NC_005233.1,S,complete,Orthohantavirus dobravaense
1,NC_005234.1,M,complete,Orthohantavirus dobravaense
2,NC_005235.1,L,complete,Orthohantavirus dobravaense
26,MW055918.1,M,complete,Orthohantavirus dobravaense
42,OK422867.1,M,complete,Orthohantavirus dobravaense
43,OK422868.1,M,complete,Orthohantavirus dobravaense
44,OK422869.1,L,complete,Orthohantavirus dobravaense
45,OK422870.1,L,complete,Orthohantavirus dobravaense
46,OK422871.1,L,complete,Orthohantavirus dobravaense
47,OM677634.1,L,complete,Orthohantavirus dobravaense
48,OM677635.1,M,complete,Orthohantavirus dobravaense
49,OM677636.1,S,complete,Orthohantavirus dobravaense
50,OM677637.1,L,complete,Orthohantavirus dobravaense
52,OM677639.1,S,complete,Orthohantavirus dobravaense
171,KU561220.1,M,complete,Orthohantavirus dobravaense
238,KP878311.1,S,complete,Orthohantavirus dobravaense
239,KP878312.1,S,complete,Orthohantavirus dobravaense
240,KP878313.1,S,complete,Orthohantavirus dobravaense
241,KT885041.1,L,complete,Orthohantavirus dobravaense
242,KT885042.1,M,complete,Orthohantavirus dobravaense
243,KT885043.1,S,complete,Orthohantavirus dobravaense
516,JQ026204.1,S,complete,Orthohantavirus dobravaense
517,JQ026205.1,M,complete,Orthohantavirus dobravaense
518,JQ026206.1,L,complete,Orthohantavirus dobravaense
571,GQ205401.1,S,complete,Orthohantavirus dobravaense
572,GQ205402.1,S,complete,Orthohantavirus dobravaense
573,GQ205403.1,S,complete,Orthohantavirus dobravaense
574,GQ205404.1,S,complete,Orthohantavirus dobravaense
575,GQ205405.1,S,complete,Orthohantavirus dobravaense
576,GQ205406.1,S,complete,Orthohantavirus dobravaense
577,GQ205407.1,S,complete,Orthohantavirus dobravaense
578,GQ205408.1,S,complete,Orthohantavirus dobravaense
579,GQ205409.1,M,complete,Orthohantavirus dobravaense
580,GQ205410.1,M,complete,Orthohantavirus dobravaense
581,GQ205411.1,M,complete,Orthohantavirus dobravaense
582,GQ205412.1,M,complete,Orthohantavirus dobravaense
583,GQ205413.1,M,complete,Orthohantavirus dobravaense
703,AY961615.1,S,complete,Orthohantavirus dobravaense
787,L41916.1,S,complete,Orthohantavirus dobravaense
788,L33685.1,M,complete,Orthohantavirus dobravaense
