Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
NC_005233.1,RefSeq,GCF_000863045.1,,SAMEA3283064,PRJNA485481,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,S,"Dobrava virus complete S segment gene for nucleocapsid protein, strain DOBV/Ano-Poroia/Afl9/1999",1673,complete,Greece:Ano-Poroia,Greece,,Apodemus flavicollis,,"Nemirov,K., Vapalahti,O., Papa,A., Plyusnina,A., Lundkvist,A., Antoniadis,A., Vaheri,A., Plyusnin,A.","National Center for Biotechnology Information, NIH",USA,1,,2003-11-25,ssRNA(-)
NC_005234.1,RefSeq,GCF_000863045.1,,SAMEA3283064,PRJNA485481,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,M,"Dobrava virus complete M segment gene for glycoprotein precursor (G1-G2), strain DOBV/Ano-Poroia/Afl9/1999)",3635,complete,Greece:Ano-Poroia,Greece,,Apodemus flavicollis,,"Nemirov,K., Vapalahti,O., Papa,A., Plyusnina,A., Lundkvist,A., Antoniadis,A., Vaheri,A., Plyusnin,A.","National Center for Biotechnology Information, NIH",USA,1,,2003-11-25,ssRNA(-)
NC_005235.1,RefSeq,GCF_000863045.1,,SAMEA3283064,PRJNA485481,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,L,"Dobrava virus complete L segment gene for polymerase protein, strain DOBV/Ano-Poroia/Afl9/1999)",6532,complete,Greece:Ano-Poroia,Greece,,Apodemus flavicollis,,"Nemirov,K., Vapalahti,O., Papa,A., Plyusnina,A., Lundkvist,A., Antoniadis,A., Vaheri,A., Plyusnin,A., Henttonen,H.","National Center for Biotechnology Information, NIH",USA,2,,2003-11-25,ssRNA(-)
PZ377041.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,BLR/2025/Mm/3079,M,"Orthohantavirus dobravaense isolate BLR/2025/Mm/3079 segment M glycoprotein precursor, gene, partial cds",291,partial,Belarus: Dukora,Belarus,,Mus musculus,lung,"Sukhotskaya,L.A., Malinovskaya,Y.V., Semizhon,P.A., Scheslenok,E.P., Dubkov,N.A., Gasich,E.L.","Republican Center of Hygiene, Epidemiology and Public Health, Laboratory of Biotechnology and Immunodiagnostics of High Dangerous Pathogens",Belarus,,2025-12,2026-05-16,ssRNA(-)
PX840724.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,2632_2025_DOBV_HU,,"Orthohantavirus dobravaense isolate 2632_2025_DOBV_HU nucleocapsid protein gene, partial cds",333,partial,"Hungary: NUTS3, Borsod Abauj Zemplen",Hungary,,Homo sapiens,blood,"Koroknai,A., Nagy,A., Nagy,O., Csonka,N., Mezei,E., Szomor,K., Takacs,M.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,,2025,2026-03-29,ssRNA(-)
PQ867784.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,3576_2019_DOBV_HU,,"Orthohantavirus dobravaense isolate 3576_2019_DOBV_HU nucleocapsid protein gene, partial cds",333,partial,Hungary: Szeremle,Hungary,,Homo sapiens,blood,"Koroknai,A., Nagy,A., Nagy,O., Csonka,N., Mezei,E., Szomor,K., Takacs,M.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,,2019,2026-02-01,ssRNA(-)
PQ867786.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,2415_2020_DOBV_HU,,"Orthohantavirus dobravaense isolate 2415_2020_DOBV_HU nucleocapsid protein gene, partial cds",333,partial,Hungary: Harasztifalu,Hungary,,Homo sapiens,blood,"Koroknai,A., Nagy,A., Nagy,O., Csonka,N., Mezei,E., Szomor,K., Takacs,M.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,,2020,2026-02-01,ssRNA(-)
PQ867787.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,1911_2021_DOBV_HU,,"Orthohantavirus dobravaense isolate 1911_2021_DOBV_HU nucleocapsid protein gene, partial cds",333,partial,Hungary: Szentendre,Hungary,,Homo sapiens,blood,"Koroknai,A., Nagy,A., Nagy,O., Csonka,N., Mezei,E., Szomor,K., Takacs,M.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,,2021,2026-02-01,ssRNA(-)
PQ867790.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,2120_2023_DOBV_HU,,"Orthohantavirus dobravaense isolate 2120_2023_DOBV_HU nucleocapsid protein gene, partial cds",333,partial,Hungary: Veszprem,Hungary,,Homo sapiens,blood,"Koroknai,A., Nagy,A., Nagy,O., Csonka,N., Mezei,E., Szomor,K., Takacs,M.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,,2023,2026-02-01,ssRNA(-)
PQ867791.1,GenBank,,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,114_2024_DOBV_HU,,"Orthohantavirus dobravaense isolate 114_2024_DOBV_HU nucleocapsid protein gene, partial cds",333,partial,Hungary: Sarospatak,Hungary,,Homo sapiens,blood,"Koroknai,A., Nagy,A., Nagy,O., Csonka,N., Mezei,E., Szomor,K., Takacs,M.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,,2024,2026-02-01,ssRNA(-)
