,Accession,Segment,Nuc_Completeness,Species
0,NC_077669.1,S,complete,Orthohantavirus sinnombreense
1,NC_077670.1,M,complete,Orthohantavirus sinnombreense
2,NC_077671.1,L,complete,Orthohantavirus sinnombreense
3,NC_005215.1,M,complete,Orthohantavirus sinnombreense
4,NC_005216.1,S,complete,Orthohantavirus sinnombreense
5,NC_005217.1,L,complete,Orthohantavirus sinnombreense
6,PX401020.1,M,partial,Orthohantavirus sinnombreense
7,PX401021.1,M,partial,Orthohantavirus sinnombreense
8,PX401023.1,M,partial,Orthohantavirus sinnombreense
9,PX401025.1,M,partial,Orthohantavirus sinnombreense
10,PX401029.1,S,partial,Orthohantavirus sinnombreense
11,PX401032.1,S,partial,Orthohantavirus sinnombreense
12,PX401033.1,S,partial,Orthohantavirus sinnombreense
13,PX401034.1,S,partial,Orthohantavirus sinnombreense
14,PX401037.1,S,partial,Orthohantavirus sinnombreense
28,OQ999105.1,S,partial,Orthohantavirus sinnombreense
29,OQ999108.1,S,partial,Orthohantavirus sinnombreense
30,OQ999109.1,M,partial,Orthohantavirus sinnombreense
31,OQ999110.1,L,partial,Orthohantavirus sinnombreense
32,OQ999111.1,M,partial,Orthohantavirus sinnombreense
33,OQ999113.1,S,partial,Orthohantavirus sinnombreense
34,OQ999114.1,M,partial,Orthohantavirus sinnombreense
35,OQ999115.1,L,partial,Orthohantavirus sinnombreense
36,OQ999118.1,S,partial,Orthohantavirus sinnombreense
37,OQ999119.1,M,partial,Orthohantavirus sinnombreense
38,OQ999123.1,S,partial,Orthohantavirus sinnombreense
39,OQ999124.1,M,partial,Orthohantavirus sinnombreense
40,OQ999125.1,S,partial,Orthohantavirus sinnombreense
41,OQ999126.1,M,partial,Orthohantavirus sinnombreense
42,OQ999127.1,L,partial,Orthohantavirus sinnombreense
43,OQ999128.1,S,partial,Orthohantavirus sinnombreense
44,OQ999129.1,M,partial,Orthohantavirus sinnombreense
45,OQ999132.1,M,partial,Orthohantavirus sinnombreense
46,OQ999133.1,L,partial,Orthohantavirus sinnombreense
47,OQ999135.1,S,partial,Orthohantavirus sinnombreense
48,OQ999136.1,M,partial,Orthohantavirus sinnombreense
49,OQ999137.1,L,partial,Orthohantavirus sinnombreense
50,OQ999138.1,S,partial,Orthohantavirus sinnombreense
51,OQ999141.1,M,partial,Orthohantavirus sinnombreense
52,OQ999143.1,S,partial,Orthohantavirus sinnombreense
53,OQ999144.1,M,partial,Orthohantavirus sinnombreense
54,OQ999145.1,L,partial,Orthohantavirus sinnombreense
55,OQ999146.1,S,partial,Orthohantavirus sinnombreense
56,OQ999148.1,L,partial,Orthohantavirus sinnombreense
57,OQ999150.1,M,partial,Orthohantavirus sinnombreense
58,OQ999151.1,L,partial,Orthohantavirus sinnombreense
59,OQ999154.1,S,partial,Orthohantavirus sinnombreense
60,OQ999155.1,M,partial,Orthohantavirus sinnombreense
61,OQ999157.1,S,partial,Orthohantavirus sinnombreense
62,OQ999159.1,L,partial,Orthohantavirus sinnombreense
63,OQ999160.1,S,partial,Orthohantavirus sinnombreense
64,OQ999161.1,M,partial,Orthohantavirus sinnombreense
65,OQ999162.1,L,partial,Orthohantavirus sinnombreense
66,OQ999163.1,S,partial,Orthohantavirus sinnombreense
67,OQ999164.1,M,partial,Orthohantavirus sinnombreense
68,OQ999165.1,L,partial,Orthohantavirus sinnombreense
69,OQ999166.1,S,partial,Orthohantavirus sinnombreense
70,OQ999167.1,M,partial,Orthohantavirus sinnombreense
