,Accession,Segment,Nuc_Completeness,Species
0,NC_005218.1,S,complete,Orthohantavirus hantanense
1,NC_005219.1,M,complete,Orthohantavirus hantanense
2,NC_005222.1,L,complete,Orthohantavirus hantanense
94,PV890474.1,S,complete,Orthohantavirus hantanense
164,PQ247660.1,M,complete,Orthohantavirus hantanense
165,PQ247661.1,M,complete,Orthohantavirus hantanense
166,PQ247662.1,M,complete,Orthohantavirus hantanense
167,PQ247663.1,M,complete,Orthohantavirus hantanense
168,PQ247664.1,M,complete,Orthohantavirus hantanense
169,PQ247665.1,M,complete,Orthohantavirus hantanense
170,PQ247666.1,M,complete,Orthohantavirus hantanense
171,PQ247667.1,M,complete,Orthohantavirus hantanense
172,PQ247668.1,M,complete,Orthohantavirus hantanense
173,PQ247669.1,M,complete,Orthohantavirus hantanense
174,PQ247670.1,M,complete,Orthohantavirus hantanense
175,PQ247671.1,M,complete,Orthohantavirus hantanense
176,PQ247672.1,M,complete,Orthohantavirus hantanense
177,PQ247673.1,M,complete,Orthohantavirus hantanense
178,PQ247674.1,M,complete,Orthohantavirus hantanense
179,PQ247675.1,S,complete,Orthohantavirus hantanense
180,PQ247676.1,S,complete,Orthohantavirus hantanense
181,PQ247677.1,S,complete,Orthohantavirus hantanense
182,PQ247678.1,S,complete,Orthohantavirus hantanense
183,PQ247679.1,S,complete,Orthohantavirus hantanense
184,PQ247680.1,S,complete,Orthohantavirus hantanense
185,PQ247681.1,S,complete,Orthohantavirus hantanense
186,PQ247682.1,S,complete,Orthohantavirus hantanense
187,PQ247683.1,S,complete,Orthohantavirus hantanense
188,PQ247684.1,S,complete,Orthohantavirus hantanense
189,PQ247685.1,S,complete,Orthohantavirus hantanense
190,PQ247686.1,S,complete,Orthohantavirus hantanense
191,PQ247687.1,S,complete,Orthohantavirus hantanense
192,PQ247688.1,S,complete,Orthohantavirus hantanense
193,PQ247689.1,S,complete,Orthohantavirus hantanense
315,OR113707.1,L,complete,Orthohantavirus hantanense
316,OR113708.1,L,complete,Orthohantavirus hantanense
317,OR113709.1,L,complete,Orthohantavirus hantanense
318,OR113710.1,L,complete,Orthohantavirus hantanense
319,OR113711.1,L,complete,Orthohantavirus hantanense
320,OR113712.1,L,complete,Orthohantavirus hantanense
321,OR113713.1,L,complete,Orthohantavirus hantanense
322,OR113714.1,L,complete,Orthohantavirus hantanense
323,OR113715.1,L,complete,Orthohantavirus hantanense
324,OR113716.1,M,complete,Orthohantavirus hantanense
325,OR113717.1,M,complete,Orthohantavirus hantanense
326,OR113718.1,M,complete,Orthohantavirus hantanense
327,OR113719.1,M,complete,Orthohantavirus hantanense
328,OR113720.1,M,complete,Orthohantavirus hantanense
329,OR113721.1,M,complete,Orthohantavirus hantanense
330,OR113722.1,M,complete,Orthohantavirus hantanense
331,OR113723.1,M,complete,Orthohantavirus hantanense
332,OR113724.1,M,complete,Orthohantavirus hantanense
333,OR113725.1,S,complete,Orthohantavirus hantanense
334,OR113726.1,S,complete,Orthohantavirus hantanense
335,OR113727.1,S,complete,Orthohantavirus hantanense
336,OR113728.1,S,complete,Orthohantavirus hantanense
337,OR113729.1,S,complete,Orthohantavirus hantanense
338,OR113730.1,S,complete,Orthohantavirus hantanense
339,OR113731.1,S,complete,Orthohantavirus hantanense
340,OR113732.1,S,complete,Orthohantavirus hantanense
341,OR113733.1,S,complete,Orthohantavirus hantanense
342,OR113734.1,M,complete,Orthohantavirus hantanense
343,OR113735.1,S,complete,Orthohantavirus hantanense
344,OR113736.1,L,complete,Orthohantavirus hantanense
346,OR113738.1,S,complete,Orthohantavirus hantanense
347,OR113739.1,L,complete,Orthohantavirus hantanense
349,OR113741.1,S,complete,Orthohantavirus hantanense
350,OR113742.1,L,complete,Orthohantavirus hantanense
351,OR113743.1,M,complete,Orthohantavirus hantanense
385,OR711249.1,S,complete,Orthohantavirus hantanense
386,OR711250.1,M,complete,Orthohantavirus hantanense
987,MK548646.1,S,complete,Orthohantavirus hantanense
988,MK548649.1,S,complete,Orthohantavirus hantanense
989,MK548650.1,S,complete,Orthohantavirus hantanense
990,MK548651.1,S,complete,Orthohantavirus hantanense
991,MK548655.1,M,complete,Orthohantavirus hantanense
992,MK548658.1,M,complete,Orthohantavirus hantanense
993,MK548659.1,M,complete,Orthohantavirus hantanense
994,MK548660.1,M,complete,Orthohantavirus hantanense
995,MK548664.1,L,complete,Orthohantavirus hantanense
996,MK548667.1,L,complete,Orthohantavirus hantanense
997,MK548668.1,L,complete,Orthohantavirus hantanense
998,MK548669.1,L,complete,Orthohantavirus hantanense
999,MK548673.1,S,complete,Orthohantavirus hantanense
1000,MK548674.1,S,complete,Orthohantavirus hantanense
1001,MK548675.1,S,complete,Orthohantavirus hantanense
1002,MK548676.1,S,complete,Orthohantavirus hantanense
1003,MK548682.1,M,complete,Orthohantavirus hantanense
1004,MK548683.1,M,complete,Orthohantavirus hantanense
1005,MK548684.1,M,complete,Orthohantavirus hantanense
1006,MK548685.1,M,complete,Orthohantavirus hantanense
1007,MK548691.1,L,complete,Orthohantavirus hantanense
1008,MK548692.1,L,complete,Orthohantavirus hantanense
1009,MK548693.1,L,complete,Orthohantavirus hantanense
1010,MK548694.1,L,complete,Orthohantavirus hantanense
1011,MN478382.1,S,complete,Orthohantavirus hantanense
1012,MN478383.1,S,complete,Orthohantavirus hantanense
1013,MN478384.1,S,complete,Orthohantavirus hantanense
1014,MN478385.1,S,complete,Orthohantavirus hantanense
1015,MN478386.1,S,complete,Orthohantavirus hantanense
1016,MN478387.1,S,complete,Orthohantavirus hantanense
1017,MN478388.1,S,complete,Orthohantavirus hantanense
1018,MN478389.1,S,complete,Orthohantavirus hantanense
1019,MN478390.1,S,complete,Orthohantavirus hantanense
1020,MN478391.1,S,complete,Orthohantavirus hantanense
1021,MN478392.1,S,complete,Orthohantavirus hantanense
1022,MN478393.1,S,complete,Orthohantavirus hantanense
1023,MN478394.1,S,complete,Orthohantavirus hantanense
1024,MN478395.1,S,complete,Orthohantavirus hantanense
1025,MN478396.1,S,complete,Orthohantavirus hantanense
1026,MN478397.1,S,complete,Orthohantavirus hantanense
1070,MK548647.1,S,complete,Orthohantavirus hantanense
1071,MK548648.1,S,complete,Orthohantavirus hantanense
1072,MK548652.1,S,complete,Orthohantavirus hantanense
1073,MK548653.1,S,complete,Orthohantavirus hantanense
1074,MK548654.1,S,complete,Orthohantavirus hantanense
1075,MK548656.1,M,complete,Orthohantavirus hantanense
1076,MK548657.1,M,complete,Orthohantavirus hantanense
1077,MK548661.1,M,complete,Orthohantavirus hantanense
1078,MK548662.1,M,complete,Orthohantavirus hantanense
1079,MK548663.1,M,complete,Orthohantavirus hantanense
1080,MK548665.1,L,complete,Orthohantavirus hantanense
1081,MK548666.1,L,complete,Orthohantavirus hantanense
1082,MK548670.1,L,complete,Orthohantavirus hantanense
1083,MK548671.1,L,complete,Orthohantavirus hantanense
1084,MK548672.1,L,complete,Orthohantavirus hantanense
1085,MK548677.1,S,complete,Orthohantavirus hantanense
1086,MK548678.1,S,complete,Orthohantavirus hantanense
1087,MK548679.1,S,complete,Orthohantavirus hantanense
1088,MK548680.1,S,complete,Orthohantavirus hantanense
1089,MK548681.1,S,complete,Orthohantavirus hantanense
1090,MK548686.1,M,complete,Orthohantavirus hantanense
1091,MK548687.1,M,complete,Orthohantavirus hantanense
1092,MK548688.1,M,complete,Orthohantavirus hantanense
1093,MK548689.1,M,complete,Orthohantavirus hantanense
1094,MK548690.1,M,complete,Orthohantavirus hantanense
1095,MK548695.1,L,complete,Orthohantavirus hantanense
1096,MK548696.1,L,complete,Orthohantavirus hantanense
1097,MK548697.1,L,complete,Orthohantavirus hantanense
1098,MK548698.1,L,complete,Orthohantavirus hantanense
1099,MK548699.1,L,complete,Orthohantavirus hantanense
1262,KY978755.1,S,complete,Orthohantavirus hantanense
1263,KY978756.1,M,complete,Orthohantavirus hantanense
1264,KY978757.1,L,complete,Orthohantavirus hantanense
1305,KY594712.1,L,complete,Orthohantavirus hantanense
1306,KY594713.1,L,complete,Orthohantavirus hantanense
1307,KY594714.1,L,complete,Orthohantavirus hantanense
1308,KY594715.1,M,complete,Orthohantavirus hantanense
1309,KY594716.1,M,complete,Orthohantavirus hantanense
1310,KY594717.1,M,complete,Orthohantavirus hantanense
1311,KY594718.1,S,complete,Orthohantavirus hantanense
1312,KY594719.1,S,complete,Orthohantavirus hantanense
1313,KY594720.1,S,complete,Orthohantavirus hantanense
1348,KU207153.1,L,complete,Orthohantavirus hantanense
1349,KU207154.1,L,complete,Orthohantavirus hantanense
1350,KU207155.1,L,complete,Orthohantavirus hantanense
1351,KU207156.1,L,complete,Orthohantavirus hantanense
1352,KU207157.1,L,complete,Orthohantavirus hantanense
1353,KU207158.1,L,complete,Orthohantavirus hantanense
1354,KU207159.1,L,complete,Orthohantavirus hantanense
1369,KX687227.1,M,complete,Orthohantavirus hantanense
1370,KX687228.1,M,complete,Orthohantavirus hantanense
1371,KX687229.1,M,complete,Orthohantavirus hantanense
1372,KX687230.1,M,complete,Orthohantavirus hantanense
1373,KX687231.1,M,complete,Orthohantavirus hantanense
1374,KX687232.1,S,complete,Orthohantavirus hantanense
1375,KX687233.1,S,complete,Orthohantavirus hantanense
1376,KX687234.1,S,complete,Orthohantavirus hantanense
1377,KX687235.1,S,complete,Orthohantavirus hantanense
1378,KX687236.1,S,complete,Orthohantavirus hantanense
1379,KX687237.1,L,complete,Orthohantavirus hantanense
1380,KX687238.1,L,complete,Orthohantavirus hantanense
1381,KX687239.1,L,complete,Orthohantavirus hantanense
1382,KX687240.1,L,complete,Orthohantavirus hantanense
1383,KX687241.1,L,complete,Orthohantavirus hantanense
1442,KU215675.1,L,complete,Orthohantavirus hantanense
1443,KT934956.1,L,complete,Orthohantavirus hantanense
1444,KT934957.1,L,complete,Orthohantavirus hantanense
1445,KT934958.1,L,complete,Orthohantavirus hantanense
1446,KT934959.1,L,complete,Orthohantavirus hantanense
1447,KT934960.1,L,complete,Orthohantavirus hantanense
1448,KT934961.1,L,complete,Orthohantavirus hantanense
1449,KT934962.1,L,complete,Orthohantavirus hantanense
1450,KT934963.1,L,complete,Orthohantavirus hantanense
1451,KT934964.1,L,complete,Orthohantavirus hantanense
1452,KT934965.1,L,complete,Orthohantavirus hantanense
1453,KT934966.1,L,complete,Orthohantavirus hantanense
1454,KT934967.1,L,complete,Orthohantavirus hantanense
1455,KT934968.1,L,complete,Orthohantavirus hantanense
1456,KT934969.1,L,complete,Orthohantavirus hantanense
1457,KT934970.1,L,complete,Orthohantavirus hantanense
1458,KT934971.1,L,complete,Orthohantavirus hantanense
1459,KT934972.1,L,complete,Orthohantavirus hantanense
1460,KT934973.1,L,complete,Orthohantavirus hantanense
1461,KT934974.1,L,complete,Orthohantavirus hantanense
1462,KT934975.1,L,complete,Orthohantavirus hantanense
1463,KT934976.1,L,complete,Orthohantavirus hantanense
1464,KT934977.1,L,complete,Orthohantavirus hantanense
1465,KT934978.1,L,complete,Orthohantavirus hantanense
1466,KT934979.1,L,complete,Orthohantavirus hantanense
1467,KT934980.1,L,complete,Orthohantavirus hantanense
1468,KT934981.1,L,complete,Orthohantavirus hantanense
1469,KT934982.1,L,complete,Orthohantavirus hantanense
1470,KT934983.1,L,complete,Orthohantavirus hantanense
1471,KT934984.1,L,complete,Orthohantavirus hantanense
1472,KT934985.1,L,complete,Orthohantavirus hantanense
1473,KT934986.1,L,complete,Orthohantavirus hantanense
1474,KT934987.1,L,complete,Orthohantavirus hantanense
1475,KT934988.1,L,complete,Orthohantavirus hantanense
1476,KT934989.1,L,complete,Orthohantavirus hantanense
1600,KT885047.1,L,complete,Orthohantavirus hantanense
1601,KT885048.1,M,complete,Orthohantavirus hantanense
1602,KT885049.1,S,complete,Orthohantavirus hantanense
1832,KC344236.1,S,complete,Orthohantavirus hantanense
1887,JQ083393.1,L,complete,Orthohantavirus hantanense
1888,JQ083394.1,M,complete,Orthohantavirus hantanense
1889,JQ083395.1,S,complete,Orthohantavirus hantanense
2007,GQ120966.1,M,complete,Orthohantavirus hantanense
2064,EF990904.1,S,complete,Orthohantavirus hantanense
2065,EF990905.1,S,complete,Orthohantavirus hantanense
2066,EF990906.1,S,complete,Orthohantavirus hantanense
2067,EF990907.1,S,complete,Orthohantavirus hantanense
2068,EF990908.1,S,complete,Orthohantavirus hantanense
2069,EF990909.1,S,complete,Orthohantavirus hantanense
2070,EF990910.1,S,complete,Orthohantavirus hantanense
2071,EF990911.1,S,complete,Orthohantavirus hantanense
2072,EF990912.1,S,complete,Orthohantavirus hantanense
2073,EF990913.1,S,complete,Orthohantavirus hantanense
