,Accession,Segment,Nuc_Completeness,Species
0,NC_077666.1,M,complete,Orthohantavirus puumalaense
1,NC_077667.1,L,complete,Orthohantavirus puumalaense
2,NC_077668.1,S,complete,Orthohantavirus puumalaense
3,NC_005223.1,M,complete,Orthohantavirus puumalaense
4,NC_005224.1,S,complete,Orthohantavirus puumalaense
5,NC_005225.1,L,complete,Orthohantavirus puumalaense
6,PQ867783.1,S,partial,Orthohantavirus puumalaense
7,PQ867785.1,S,partial,Orthohantavirus puumalaense
8,PQ867788.1,S,partial,Orthohantavirus puumalaense
9,PQ867789.1,S,partial,Orthohantavirus puumalaense
10,PV276136.1,L,partial,Orthohantavirus puumalaense
11,PV276137.1,L,partial,Orthohantavirus puumalaense
12,PV276138.1,L,partial,Orthohantavirus puumalaense
13,PV276139.1,L,partial,Orthohantavirus puumalaense
14,PV276140.1,L,partial,Orthohantavirus puumalaense
15,PV276141.1,L,partial,Orthohantavirus puumalaense
16,PV276142.1,M,partial,Orthohantavirus puumalaense
17,PV276143.1,M,partial,Orthohantavirus puumalaense
18,PV276144.1,M,partial,Orthohantavirus puumalaense
19,PV276145.1,M,partial,Orthohantavirus puumalaense
20,PV276146.1,M,partial,Orthohantavirus puumalaense
21,PV276147.1,M,partial,Orthohantavirus puumalaense
22,PV276148.1,S,partial,Orthohantavirus puumalaense
23,PV276149.1,S,partial,Orthohantavirus puumalaense
24,PV276150.1,S,partial,Orthohantavirus puumalaense
25,PV276151.1,S,partial,Orthohantavirus puumalaense
26,PV276152.1,S,partial,Orthohantavirus puumalaense
27,PV276153.1,S,partial,Orthohantavirus puumalaense
28,PV254382.1,S,partial,Orthohantavirus puumalaense
29,PV254383.1,S,partial,Orthohantavirus puumalaense
30,PV254384.1,S,partial,Orthohantavirus puumalaense
31,PV254385.1,S,partial,Orthohantavirus puumalaense
32,PQ871465.1,S,partial,Orthohantavirus puumalaense
33,PQ683547.1,M,partial,Orthohantavirus puumalaense
34,PQ683548.1,M,partial,Orthohantavirus puumalaense
35,PQ683549.1,L,partial,Orthohantavirus puumalaense
36,PQ683550.1,L,partial,Orthohantavirus puumalaense
37,PQ683551.1,L,partial,Orthohantavirus puumalaense
38,PQ683552.1,L,partial,Orthohantavirus puumalaense
39,PQ723775.1,L,partial,Orthohantavirus puumalaense
40,PQ723776.1,L,partial,Orthohantavirus puumalaense
41,PQ723777.1,L,partial,Orthohantavirus puumalaense
42,PQ723778.1,L,partial,Orthohantavirus puumalaense
43,PQ723779.1,L,partial,Orthohantavirus puumalaense
44,PQ673794.1,M,partial,Orthohantavirus puumalaense
45,PQ673795.1,M,partial,Orthohantavirus puumalaense
46,PQ741736.1,M,partial,Orthohantavirus puumalaense
47,PQ660163.1,S,partial,Orthohantavirus puumalaense
48,PQ660164.1,S,partial,Orthohantavirus puumalaense
49,PQ660165.1,S,partial,Orthohantavirus puumalaense
50,PQ660166.1,S,partial,Orthohantavirus puumalaense
51,PQ660167.1,S,partial,Orthohantavirus puumalaense
52,PQ660168.1,S,partial,Orthohantavirus puumalaense
53,PQ660169.1,M,partial,Orthohantavirus puumalaense
54,PQ660170.1,M,partial,Orthohantavirus puumalaense
55,PQ660171.1,M,partial,Orthohantavirus puumalaense
56,PQ660172.1,M,partial,Orthohantavirus puumalaense
57,PQ653513.1,M,partial,Orthohantavirus puumalaense
58,PQ653514.1,M,partial,Orthohantavirus puumalaense
59,PQ653515.1,M,partial,Orthohantavirus puumalaense
60,PQ653516.1,M,partial,Orthohantavirus puumalaense
61,PQ653517.1,M,partial,Orthohantavirus puumalaense
62,PQ653518.1,M,partial,Orthohantavirus puumalaense
63,PQ653519.1,M,partial,Orthohantavirus puumalaense
64,PQ653520.1,M,partial,Orthohantavirus puumalaense
65,PQ653521.1,M,partial,Orthohantavirus puumalaense
66,PQ653522.1,M,partial,Orthohantavirus puumalaense
67,PQ653523.1,M,partial,Orthohantavirus puumalaense
68,PQ653524.1,M,partial,Orthohantavirus puumalaense
69,PQ653525.1,M,partial,Orthohantavirus puumalaense
70,PQ653526.1,M,partial,Orthohantavirus puumalaense
71,PQ653527.1,M,partial,Orthohantavirus puumalaense
72,PQ653528.1,M,partial,Orthohantavirus puumalaense
73,PQ653529.1,M,partial,Orthohantavirus puumalaense
74,PQ653530.1,M,partial,Orthohantavirus puumalaense
75,PQ634464.1,M,partial,Orthohantavirus puumalaense
76,PQ634465.1,M,partial,Orthohantavirus puumalaense
77,PQ641040.1,S,partial,Orthohantavirus puumalaense
78,PQ641041.1,S,partial,Orthohantavirus puumalaense
79,PQ641042.1,S,partial,Orthohantavirus puumalaense
80,PQ641043.1,S,partial,Orthohantavirus puumalaense
81,PQ641044.1,S,partial,Orthohantavirus puumalaense
82,PQ641045.1,S,partial,Orthohantavirus puumalaense
83,PQ641046.1,S,partial,Orthohantavirus puumalaense
84,PQ641047.1,S,partial,Orthohantavirus puumalaense
85,PQ641048.1,S,partial,Orthohantavirus puumalaense
86,PQ641049.1,S,partial,Orthohantavirus puumalaense
87,PQ641050.1,S,partial,Orthohantavirus puumalaense
88,PQ641051.1,S,partial,Orthohantavirus puumalaense
89,PQ641052.1,S,partial,Orthohantavirus puumalaense
90,PQ641053.1,S,partial,Orthohantavirus puumalaense
91,PQ641054.1,S,partial,Orthohantavirus puumalaense
92,PQ641055.1,S,partial,Orthohantavirus puumalaense
93,PQ641056.1,S,partial,Orthohantavirus puumalaense
94,PQ641057.1,S,partial,Orthohantavirus puumalaense
95,PQ641058.1,S,partial,Orthohantavirus puumalaense
96,PQ641059.1,S,partial,Orthohantavirus puumalaense
97,PQ641060.1,S,partial,Orthohantavirus puumalaense
98,PQ645099.1,L,partial,Orthohantavirus puumalaense
99,PQ645100.1,L,partial,Orthohantavirus puumalaense
100,PQ645101.1,L,partial,Orthohantavirus puumalaense
101,PQ645102.1,L,partial,Orthohantavirus puumalaense
102,PQ645103.1,L,partial,Orthohantavirus puumalaense
103,PQ645104.1,L,partial,Orthohantavirus puumalaense
104,PQ650618.1,L,partial,Orthohantavirus puumalaense
105,PQ650619.1,L,partial,Orthohantavirus puumalaense
106,PQ650620.1,L,partial,Orthohantavirus puumalaense
107,PQ650621.1,L,partial,Orthohantavirus puumalaense
108,PQ738269.1,L,partial,Orthohantavirus puumalaense
109,PQ738270.1,L,partial,Orthohantavirus puumalaense
110,PQ738271.1,L,partial,Orthohantavirus puumalaense
111,PQ738272.1,L,partial,Orthohantavirus puumalaense
112,PQ738273.1,L,partial,Orthohantavirus puumalaense
113,PQ738274.1,L,partial,Orthohantavirus puumalaense
114,PQ738275.1,L,partial,Orthohantavirus puumalaense
115,PQ738276.1,L,partial,Orthohantavirus puumalaense
116,PQ741974.1,L,partial,Orthohantavirus puumalaense
117,PQ629508.1,S,partial,Orthohantavirus puumalaense
118,PQ629509.1,S,partial,Orthohantavirus puumalaense
119,OR573657.1,S,complete,Orthohantavirus puumalaense
120,OR581027.1,S,partial,Orthohantavirus puumalaense
121,OR581028.1,S,partial,Orthohantavirus puumalaense
122,OR581029.1,S,partial,Orthohantavirus puumalaense
123,OR581030.1,S,partial,Orthohantavirus puumalaense
124,OR581031.1,S,partial,Orthohantavirus puumalaense
125,OR581032.1,S,partial,Orthohantavirus puumalaense
126,OR581033.1,S,partial,Orthohantavirus puumalaense
127,OR581034.1,S,partial,Orthohantavirus puumalaense
128,OR581035.1,S,partial,Orthohantavirus puumalaense
129,OR581037.1,M,partial,Orthohantavirus puumalaense
130,OR581040.1,L,partial,Orthohantavirus puumalaense
131,OR607515.1,L,partial,Orthohantavirus puumalaense
132,OR607516.1,L,partial,Orthohantavirus puumalaense
133,OR607517.1,L,partial,Orthohantavirus puumalaense
134,OR607518.1,L,partial,Orthohantavirus puumalaense
135,OR607519.1,L,partial,Orthohantavirus puumalaense
136,OR607520.1,L,partial,Orthohantavirus puumalaense
137,OR607521.1,L,partial,Orthohantavirus puumalaense
138,OR607522.1,L,partial,Orthohantavirus puumalaense
139,OR607523.1,L,partial,Orthohantavirus puumalaense
140,PQ256518.1,L,partial,Orthohantavirus puumalaense
141,PQ256519.1,L,partial,Orthohantavirus puumalaense
142,PQ256520.1,L,partial,Orthohantavirus puumalaense
143,PQ256521.1,L,partial,Orthohantavirus puumalaense
144,PQ256522.1,L,partial,Orthohantavirus puumalaense
145,PQ256523.1,L,partial,Orthohantavirus puumalaense
146,PQ256524.1,L,partial,Orthohantavirus puumalaense
147,PQ256525.1,L,partial,Orthohantavirus puumalaense
148,PQ256526.1,L,partial,Orthohantavirus puumalaense
149,PQ256527.1,L,partial,Orthohantavirus puumalaense
150,PQ256528.1,L,partial,Orthohantavirus puumalaense
151,PQ256529.1,L,partial,Orthohantavirus puumalaense
152,PQ256532.1,L,partial,Orthohantavirus puumalaense
153,PQ256533.1,L,partial,Orthohantavirus puumalaense
154,PQ256534.1,L,partial,Orthohantavirus puumalaense
155,PQ256535.1,L,partial,Orthohantavirus puumalaense
