Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
NC_005218.1,RefSeq,GCF_000856085.1,,,PRJNA485481,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,S,"Hantaan virus, complete genome",1696,complete,,,,,,"Schmaljohn,C.S., Jennings,G.B., Hay,J., Dalrymple,J.M.","National Center for Biotechnology Information, NIH",USA,1,,2003-11-18,ssRNA(-)
NC_005219.1,RefSeq,GCF_000856085.1,,,PRJNA485481,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,M,"Hantaan virus, complete genome",3616,complete,,,,,,"Schmaljohn,C.S., Schmaljohn,A.L., Dalrymple,J.M.","National Center for Biotechnology Information, NIH",USA,1,,2003-11-18,ssRNA(-)
NC_005222.1,RefSeq,GCF_000856085.1,,,PRJNA485481,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,76-118,L,"Hantaan virus segment L, complete genome",6533,complete,,,,,,"Schmaljohn,C.S.","National Center for Biotechnology Information, NIH",USA,1,,2003-11-18,ssRNA(-)
QP547404.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,JP 2025097909-A/413: SARS-COV-2 IMMUNOGENIC COMPOSITIONS,54,partial,,,,,,,,,,,2026-05-16,ssRNA(-)
QP746458.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,JP 2025525390-A/1876: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,435,partial,,,,,,,,,,,2026-05-16,ssRNA(-)
QS054047.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,JP 2025084850-A/5: HANTAVIRUS ANTIGENIC COMPOSITION,1698,partial,,,,,,,,,,,2026-05-16,ssRNA(-)
QS054048.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,JP 2025084850-A/6: HANTAVIRUS ANTIGENIC COMPOSITION,1287,partial,,,,,,,,,,,2026-05-16,ssRNA(-)
QS054049.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,JP 2025084850-A/8: HANTAVIRUS ANTIGENIC COMPOSITION,1005,partial,,,,,,,,,,,2026-05-16,ssRNA(-)
QS054054.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,JP 2025084850-A/18: HANTAVIRUS ANTIGENIC COMPOSITION,237,partial,,,,,,,,,,,2026-05-16,ssRNA(-)
QS054055.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,JP 2025084850-A/19: HANTAVIRUS ANTIGENIC COMPOSITION,237,partial,,,,,,,,,,,2026-05-16,ssRNA(-)
QS054056.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,JP 2025084850-A/20: HANTAVIRUS ANTIGENIC COMPOSITION,237,partial,,,,,,,,,,,2026-05-16,ssRNA(-)
QS054061.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,JP 2025084850-A/25: HANTAVIRUS ANTIGENIC COMPOSITION,45,partial,,,,,,,,,,,2026-05-16,ssRNA(-)
QS054062.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,JP 2025084850-A/26: HANTAVIRUS ANTIGENIC COMPOSITION,45,partial,,,,,,,,,,,2026-05-16,ssRNA(-)
QS054063.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,JP 2025084850-A/27: HANTAVIRUS ANTIGENIC COMPOSITION,45,partial,,,,,,,,,,,2026-05-16,ssRNA(-)
PX833970.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,HTNV-JM119/2021,S,"Orthohantavirus hantanense isolate HTNV-JM119/2021 nucleocapsid protein gene, complete cds",1290,partial,China: Jingmen Hubei,China,,Apodemus agrarius,,"Ding,Q., Gan,M., Chen,D., Wei,J., Zheng,S., Zhang,N., Zheng,Z.","Chinese Academy of Sciences, Wuhan Institute of Virology",China,,2021,2026-03-31,ssRNA(-)
PX394250.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CJ64,,"Orthohantavirus hantanense strain CJ64 RNA-dependent RNA polymerase gene, partial cds",346,partial,South Korea,South Korea,,,,"Kim,S.Y.","Korea Disease Control and Prevention Agency, Division of Vector and Parasitic Disease",,,2025-04-30,2026-03-25,ssRNA(-)
PX394251.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GC176,,"Orthohantavirus hantanense strain GC176 RNA-dependent RNA polymerase gene, partial cds",346,partial,South Korea,South Korea,,,,"Kim,S.Y.","Korea Disease Control and Prevention Agency, Division of Vector and Parasitic Disease",,,2025-04-30,2026-03-25,ssRNA(-)
