,Accession,Segment,Nuc_Completeness,Species
0,NC_005218.1,S,complete,Orthohantavirus hantanense
1,NC_005219.1,M,complete,Orthohantavirus hantanense
2,NC_005222.1,L,complete,Orthohantavirus hantanense
14,PX833970.1,S,partial,Orthohantavirus hantanense
15,PX394250.1,L,partial,Orthohantavirus hantanense
16,PX394251.1,L,partial,Orthohantavirus hantanense
17,PX394252.1,L,partial,Orthohantavirus hantanense
18,PX394253.1,L,partial,Orthohantavirus hantanense
19,PX394254.1,L,partial,Orthohantavirus hantanense
20,PX753258.1,S,partial,Orthohantavirus hantanense
21,PX753259.1,M,partial,Orthohantavirus hantanense
22,PX753260.1,L,partial,Orthohantavirus hantanense
23,OM337652.1,L,partial,Orthohantavirus hantanense
24,OM337653.1,M,partial,Orthohantavirus hantanense
25,OM337654.1,S,partial,Orthohantavirus hantanense
26,OM337655.1,L,partial,Orthohantavirus hantanense
27,OM337656.1,M,partial,Orthohantavirus hantanense
28,OM337657.1,S,partial,Orthohantavirus hantanense
29,OM337658.1,L,partial,Orthohantavirus hantanense
30,OM337659.1,M,partial,Orthohantavirus hantanense
31,OM337660.1,S,partial,Orthohantavirus hantanense
32,OM337661.1,L,partial,Orthohantavirus hantanense
33,OM337662.1,M,partial,Orthohantavirus hantanense
34,OM337663.1,S,partial,Orthohantavirus hantanense
35,OM337664.1,L,partial,Orthohantavirus hantanense
36,OM337665.1,M,partial,Orthohantavirus hantanense
37,OM337666.1,S,partial,Orthohantavirus hantanense
38,OM337667.1,L,partial,Orthohantavirus hantanense
39,OM337668.1,M,partial,Orthohantavirus hantanense
40,OM337669.1,S,partial,Orthohantavirus hantanense
41,OM337670.1,M,partial,Orthohantavirus hantanense
42,PP951047.1,S,partial,Orthohantavirus hantanense
43,PP951048.1,S,partial,Orthohantavirus hantanense
44,PP951049.1,S,partial,Orthohantavirus hantanense
45,PP951050.1,S,partial,Orthohantavirus hantanense
46,PP951051.1,S,partial,Orthohantavirus hantanense
47,PP951052.1,M,partial,Orthohantavirus hantanense
48,PP951053.1,M,partial,Orthohantavirus hantanense
49,PP951054.1,M,partial,Orthohantavirus hantanense
50,PP951055.1,M,partial,Orthohantavirus hantanense
51,PP951056.1,M,partial,Orthohantavirus hantanense
52,PP951057.1,L,partial,Orthohantavirus hantanense
53,PP951058.1,L,partial,Orthohantavirus hantanense
54,PP951059.1,L,partial,Orthohantavirus hantanense
55,PP951060.1,L,partial,Orthohantavirus hantanense
56,PP951061.1,L,partial,Orthohantavirus hantanense
58,PV600322.1,L,partial,Orthohantavirus hantanense
59,PV600323.1,L,partial,Orthohantavirus hantanense
60,PV600324.1,L,partial,Orthohantavirus hantanense
61,PV600325.1,L,partial,Orthohantavirus hantanense
62,PV600326.1,L,partial,Orthohantavirus hantanense
63,PV600327.1,L,partial,Orthohantavirus hantanense
64,PV600328.1,L,partial,Orthohantavirus hantanense
65,PV600329.1,L,partial,Orthohantavirus hantanense
66,PV600330.1,L,partial,Orthohantavirus hantanense
67,PV600331.1,L,partial,Orthohantavirus hantanense
68,PV600332.1,L,partial,Orthohantavirus hantanense
69,PV600333.1,M,partial,Orthohantavirus hantanense
70,PV600334.1,M,partial,Orthohantavirus hantanense
71,PV600335.1,M,partial,Orthohantavirus hantanense
72,PV600336.1,M,partial,Orthohantavirus hantanense
73,PV600337.1,M,partial,Orthohantavirus hantanense
74,PV600338.1,M,partial,Orthohantavirus hantanense
75,PV600339.1,M,partial,Orthohantavirus hantanense
76,PV600340.1,M,partial,Orthohantavirus hantanense
77,PV600341.1,M,partial,Orthohantavirus hantanense
78,PV600342.1,M,partial,Orthohantavirus hantanense
79,PV600343.1,M,partial,Orthohantavirus hantanense
80,PV600344.1,S,partial,Orthohantavirus hantanense
81,PV600345.1,S,partial,Orthohantavirus hantanense
82,PV600346.1,S,partial,Orthohantavirus hantanense
83,PV600347.1,S,partial,Orthohantavirus hantanense
84,PV600348.1,S,partial,Orthohantavirus hantanense
85,PV600349.1,S,partial,Orthohantavirus hantanense
86,PV600350.1,S,partial,Orthohantavirus hantanense
87,PV600351.1,S,partial,Orthohantavirus hantanense
88,PV600352.1,S,partial,Orthohantavirus hantanense
89,PV600353.1,S,partial,Orthohantavirus hantanense
90,PV600354.1,S,partial,Orthohantavirus hantanense
91,PV882772.1,L,partial,Orthohantavirus hantanense
92,PV890472.1,L,partial,Orthohantavirus hantanense
93,PV890473.1,M,partial,Orthohantavirus hantanense
94,PV890474.1,S,complete,Orthohantavirus hantanense
95,PV848108.1,L,partial,Orthohantavirus hantanense
96,PV848109.1,S,partial,Orthohantavirus hantanense
97,PV848110.1,L,partial,Orthohantavirus hantanense
98,PV848111.1,S,partial,Orthohantavirus hantanense
99,PV848112.1,L,partial,Orthohantavirus hantanense
100,PV848113.1,S,partial,Orthohantavirus hantanense
101,PQ410874.1,S,partial,Orthohantavirus hantanense
102,PQ410875.1,S,partial,Orthohantavirus hantanense
103,PQ410876.1,S,partial,Orthohantavirus hantanense
104,PQ410877.1,S,partial,Orthohantavirus hantanense
105,PQ410878.1,S,partial,Orthohantavirus hantanense
106,PQ410879.1,S,partial,Orthohantavirus hantanense
107,PQ410880.1,S,partial,Orthohantavirus hantanense
108,PQ410881.1,S,partial,Orthohantavirus hantanense
109,PQ410882.1,S,partial,Orthohantavirus hantanense
110,PQ410883.1,M,partial,Orthohantavirus hantanense
111,PQ410884.1,M,partial,Orthohantavirus hantanense
112,PQ410885.1,M,partial,Orthohantavirus hantanense
113,PQ410886.1,M,partial,Orthohantavirus hantanense
114,PQ410887.1,M,partial,Orthohantavirus hantanense
115,PQ410888.1,M,partial,Orthohantavirus hantanense
116,PQ410889.1,M,partial,Orthohantavirus hantanense
117,PQ410890.1,M,partial,Orthohantavirus hantanense
118,PQ410891.1,M,partial,Orthohantavirus hantanense
119,PQ410892.1,L,partial,Orthohantavirus hantanense
120,PQ410893.1,L,partial,Orthohantavirus hantanense
121,PQ410894.1,L,partial,Orthohantavirus hantanense
122,PQ410895.1,L,partial,Orthohantavirus hantanense
123,PQ410896.1,L,partial,Orthohantavirus hantanense
124,PQ410898.1,L,partial,Orthohantavirus hantanense
125,PQ410899.1,L,partial,Orthohantavirus hantanense
126,PQ410900.1,L,partial,Orthohantavirus hantanense
133,PV190190.1,L,partial,Orthohantavirus hantanense
134,PV190191.1,L,partial,Orthohantavirus hantanense
135,PV190192.1,L,partial,Orthohantavirus hantanense
136,PV190193.1,L,partial,Orthohantavirus hantanense
146,PQ678272.1,L,partial,Orthohantavirus hantanense
147,PQ678285.1,S,partial,Orthohantavirus hantanense
148,PQ678296.1,M,partial,Orthohantavirus hantanense
149,PQ212937.1,L,partial,Orthohantavirus hantanense
150,PQ212938.1,L,partial,Orthohantavirus hantanense
151,PQ212939.1,L,partial,Orthohantavirus hantanense
152,PQ212940.1,L,partial,Orthohantavirus hantanense
153,PQ212941.1,L,partial,Orthohantavirus hantanense
154,PQ212942.1,L,partial,Orthohantavirus hantanense
155,PQ212943.1,L,partial,Orthohantavirus hantanense
156,PQ212944.1,L,partial,Orthohantavirus hantanense
157,PQ212945.1,L,partial,Orthohantavirus hantanense
158,PQ212946.1,L,partial,Orthohantavirus hantanense
159,PQ212947.1,L,partial,Orthohantavirus hantanense
160,PQ212948.1,L,partial,Orthohantavirus hantanense
161,PQ212949.1,L,partial,Orthohantavirus hantanense
162,PQ212950.1,L,partial,Orthohantavirus hantanense
163,PQ212951.1,L,partial,Orthohantavirus hantanense
164,PQ247660.1,M,complete,Orthohantavirus hantanense
165,PQ247661.1,M,complete,Orthohantavirus hantanense
166,PQ247662.1,M,complete,Orthohantavirus hantanense
167,PQ247663.1,M,complete,Orthohantavirus hantanense
168,PQ247664.1,M,complete,Orthohantavirus hantanense
169,PQ247665.1,M,complete,Orthohantavirus hantanense
170,PQ247666.1,M,complete,Orthohantavirus hantanense
171,PQ247667.1,M,complete,Orthohantavirus hantanense
172,PQ247668.1,M,complete,Orthohantavirus hantanense
173,PQ247669.1,M,complete,Orthohantavirus hantanense
174,PQ247670.1,M,complete,Orthohantavirus hantanense
175,PQ247671.1,M,complete,Orthohantavirus hantanense
176,PQ247672.1,M,complete,Orthohantavirus hantanense
177,PQ247673.1,M,complete,Orthohantavirus hantanense
178,PQ247674.1,M,complete,Orthohantavirus hantanense
179,PQ247675.1,S,complete,Orthohantavirus hantanense
180,PQ247676.1,S,complete,Orthohantavirus hantanense
181,PQ247677.1,S,complete,Orthohantavirus hantanense
182,PQ247678.1,S,complete,Orthohantavirus hantanense
183,PQ247679.1,S,complete,Orthohantavirus hantanense
184,PQ247680.1,S,complete,Orthohantavirus hantanense
185,PQ247681.1,S,complete,Orthohantavirus hantanense
186,PQ247682.1,S,complete,Orthohantavirus hantanense
187,PQ247683.1,S,complete,Orthohantavirus hantanense
188,PQ247684.1,S,complete,Orthohantavirus hantanense
189,PQ247685.1,S,complete,Orthohantavirus hantanense
190,PQ247686.1,S,complete,Orthohantavirus hantanense
191,PQ247687.1,S,complete,Orthohantavirus hantanense
192,PQ247688.1,S,complete,Orthohantavirus hantanense
193,PQ247689.1,S,complete,Orthohantavirus hantanense
198,OR809302.1,L,partial,Orthohantavirus hantanense
199,OR809303.1,L,partial,Orthohantavirus hantanense
200,OR809304.1,L,partial,Orthohantavirus hantanense
201,OR809305.1,L,partial,Orthohantavirus hantanense
202,OR809306.1,L,partial,Orthohantavirus hantanense
203,OR809307.1,L,partial,Orthohantavirus hantanense
204,OR809308.1,L,partial,Orthohantavirus hantanense
205,OR809309.1,L,partial,Orthohantavirus hantanense
206,OR809310.1,L,partial,Orthohantavirus hantanense
207,OR809311.1,L,partial,Orthohantavirus hantanense
208,OR684707.1,L,partial,Orthohantavirus hantanense
209,OR684708.1,L,partial,Orthohantavirus hantanense
210,OR684709.1,L,partial,Orthohantavirus hantanense
211,OR684710.1,L,partial,Orthohantavirus hantanense
212,OR684711.1,L,partial,Orthohantavirus hantanense
213,OR684712.1,L,partial,Orthohantavirus hantanense
214,OR684713.1,L,partial,Orthohantavirus hantanense
215,OR684714.1,L,partial,Orthohantavirus hantanense
216,OR684716.1,L,partial,Orthohantavirus hantanense
217,OR684717.1,L,partial,Orthohantavirus hantanense
218,OR684718.1,L,partial,Orthohantavirus hantanense
219,OR684719.1,L,partial,Orthohantavirus hantanense
220,OR684720.1,L,partial,Orthohantavirus hantanense
221,OR700502.1,L,partial,Orthohantavirus hantanense
222,OR700503.1,L,partial,Orthohantavirus hantanense
223,OR700504.1,L,partial,Orthohantavirus hantanense
224,OR700505.1,L,partial,Orthohantavirus hantanense
225,OR700506.1,L,partial,Orthohantavirus hantanense
226,OR700507.1,L,partial,Orthohantavirus hantanense
227,OR700508.1,L,partial,Orthohantavirus hantanense
228,OR700509.1,M,partial,Orthohantavirus hantanense
229,OR700510.1,M,partial,Orthohantavirus hantanense
230,OR700511.1,M,partial,Orthohantavirus hantanense
231,OR700512.1,M,partial,Orthohantavirus hantanense
232,OR700513.1,M,partial,Orthohantavirus hantanense
233,OR700514.1,M,partial,Orthohantavirus hantanense
234,OR700515.1,M,partial,Orthohantavirus hantanense
235,OR700516.1,S,partial,Orthohantavirus hantanense
236,OR700517.1,S,partial,Orthohantavirus hantanense
237,OR700518.1,S,partial,Orthohantavirus hantanense
238,OR700519.1,S,partial,Orthohantavirus hantanense
239,OR700520.1,S,partial,Orthohantavirus hantanense
240,OR700521.1,S,partial,Orthohantavirus hantanense
241,OR700522.1,S,partial,Orthohantavirus hantanense
242,OL961320.1,S,partial,Orthohantavirus hantanense
243,OL961321.1,S,partial,Orthohantavirus hantanense
244,OL961322.1,S,partial,Orthohantavirus hantanense
245,OL961323.1,S,partial,Orthohantavirus hantanense
246,OL961324.1,S,partial,Orthohantavirus hantanense
247,OL961325.1,S,partial,Orthohantavirus hantanense
248,OL961326.1,S,partial,Orthohantavirus hantanense
249,OL961327.1,S,partial,Orthohantavirus hantanense
250,OL961328.1,S,partial,Orthohantavirus hantanense
251,OL961329.1,S,partial,Orthohantavirus hantanense
252,OL961330.1,S,partial,Orthohantavirus hantanense
253,OL961331.1,S,partial,Orthohantavirus hantanense
254,OL961332.1,S,partial,Orthohantavirus hantanense
255,OL961333.1,S,partial,Orthohantavirus hantanense
256,OL961334.1,S,partial,Orthohantavirus hantanense
257,OL961335.1,S,partial,Orthohantavirus hantanense
258,OL961336.1,S,partial,Orthohantavirus hantanense
259,OL961337.1,S,partial,Orthohantavirus hantanense
260,OL961338.1,S,partial,Orthohantavirus hantanense
261,OL961339.1,M,partial,Orthohantavirus hantanense
262,OL961340.1,M,partial,Orthohantavirus hantanense
