,Accession,Segment,Nuc_Completeness,Species
0,NC_077669.1,S,complete,Orthohantavirus sinnombreense
1,NC_077670.1,M,complete,Orthohantavirus sinnombreense
2,NC_077671.1,L,complete,Orthohantavirus sinnombreense
3,NC_005215.1,M,complete,Orthohantavirus sinnombreense
4,NC_005216.1,S,complete,Orthohantavirus sinnombreense
5,NC_005217.1,L,complete,Orthohantavirus sinnombreense
205,MG717391.1,S,complete,Orthohantavirus sinnombreense
206,MG717392.1,M,complete,Orthohantavirus sinnombreense
207,MG717393.1,L,complete,Orthohantavirus sinnombreense
208,KT885044.1,L,complete,Orthohantavirus sinnombreense
209,KT885045.1,M,complete,Orthohantavirus sinnombreense
210,KT885046.1,S,complete,Orthohantavirus sinnombreense
211,KF537001.1,L,complete,Orthohantavirus sinnombreense
212,KF537002.1,M,complete,Orthohantavirus sinnombreense
213,KF537003.1,S,complete,Orthohantavirus sinnombreense
214,KF537004.1,L,complete,Orthohantavirus sinnombreense
215,KF537005.1,M,complete,Orthohantavirus sinnombreense
216,KF537006.1,S,complete,Orthohantavirus sinnombreense
